orderAmount,orderState,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,fraudulent,samecity,samestate,emailDomain,emailProvider,customerIPAddressSimplified
38.0,fulfilled,False,card,American Express,Grand Credit Corporation,11,False,False,no,no,com,gmail,digits_and_letters
49.0,fulfilled,False,card,Maestro,Fountain Financial Inc.,39,False,True,no,no,net,other,digits_and_letters
29.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,19,True,True,no,no,com,other,digits_and_letters
20.0,fulfilled,False,card,Diners Club / Carte Blanche,Citizens First Banks,19,False,True,no,no,com,yahoo,digits_and_letters
40.0,fulfilled,False,card,JCB 16 digit,His Majesty Bank Corp.,45,False,True,no,no,info,other,only_letters
44.0,fulfilled,False,card,American Express,Grand Credit Corporation,50,False,False,no,no,com,gmail,only_letters
10.0,fulfilled,False,paypal,JCB 16 digit,His Majesty Bank Corp.,42,False,False,no,no,info,other,digits_and_letters
34.0,fulfilled,False,card,VISA 16 digit,Citizens First Banks,10,False,True,no,no,weird,weird,only_letters
39.0,fulfilled,False,paypal,VISA 13 digit,Fountain Financial Inc.,30,True,False,unknown,unknown,com,hotmail,only_letters
49.0,fulfilled,False,card,American Express,Bastion Banks,30,False,False,no,no,org,other,only_letters
29.0,fulfilled,False,bitcoin,Discover,B,48,True,False,unknown,unknown,com,gmail,only_letters
25.0,fulfilled,False,card,Voyager,r,48,False,True,unknown,unknown,info,other,digits_and_letters
14.0,fulfilled,False,card,VISA 16 digit,Rose Bancshares,42,True,False,unknown,unknown,com,yahoo,only_letters
32.0,failed,False,card,JCB 15 digit,Vertex Bancorp,42,False,False,no,no,com,other,digits_and_letters
21.0,fulfilled,False,card,JCB 16 digit,Grand Credit Corporation,29,False,True,no,no,com,gmail,only_letters
10.0,fulfilled,True,bitcoin,Discover,Bulwark Trust Corp.,65,False,False,no,no,com,other,digits_and_letters
11.0,fulfilled,False,card,Discover,Her Majesty Trust,75,False,False,no,no,org,other,digits_and_letters
47.0,fulfilled,False,card,Mastercard,His Majesty Bank Corp.,58,True,False,no,no,com,yahoo,only_letters
50.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,58,False,True,no,no,com,other,only_letters
39.0,fulfilled,True,card,JCB 15 digit,Fountain Financial Inc.,58,False,True,unknown,unknown,com,other,digits_and_letters
18.0,fulfilled,False,card,VISA 13 digit,Fountain Financial Inc.,32,False,True,no,no,com,yahoo,digits_and_letters
29.0,fulfilled,False,card,Voyager,Rose Bancshares,36,False,False,no,no,com,other,digits_and_letters
41.0,pending,False,card,VISA 13 digit,Vertex Bancorp,14,True,False,unknown,unknown,com,yahoo,digits_and_letters
45.0,fulfilled,False,card,Diners Club / Carte Blanche,Solace Banks,14,False,False,no,no,com,yahoo,only_letters
22.0,fulfilled,True,card,VISA 13 digit,Citizens First Banks,15,False,False,no,no,com,other,digits_and_letters
29.0,fulfilled,False,paypal,Diners Club / Carte Blanche,His Majesty Bank Corp.,46,False,True,no,no,biz,other,only_letters
51.0,fulfilled,False,apple pay,VISA 13 digit,Rose Bancshares,18,False,False,no,no,net,other,digits_and_letters
36.0,fulfilled,False,paypal,VISA 16 digit,Vertex Bancorp,30,False,False,no,no,com,yahoo,only_letters
60.0,fulfilled,False,card,Maestro,Bastion Banks,16,True,True,unknown,unknown,com,hotmail,digits_and_letters
52.0,fulfilled,False,card,Discover,Her Majesty Trust,16,False,False,no,no,com,hotmail,digits_and_letters
68.0,fulfilled,True,bitcoin,JCB 16 digit,Bastion Banks,30,False,False,unknown,unknown,com,other,digits_and_letters
51.0,fulfilled,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,38,False,False,unknown,unknown,com,yahoo,digits_and_letters
31.0,fulfilled,True,bitcoin,Discover,Fountain Financial Inc.,49,False,True,no,no,com,gmail,digits_and_letters
36.0,fulfilled,False,card,Discover,Her Majesty Trust,29,False,False,no,no,com,other,only_letters
42.0,fulfilled,True,card,VISA 16 digit,Fountain Financial Inc.,20,False,False,no,no,biz,other,only_letters
35.0,fulfilled,False,card,Maestro,His Majesty Bank Corp.,40,False,True,no,no,com,other,only_letters
17.0,fulfilled,False,card,VISA 16 digit,Bulwark Trust Corp.,44,True,False,no,no,biz,other,digits_and_letters
33.0,failed,False,card,Voyager,Her Majesty Trust,44,False,False,no,no,com,hotmail,only_letters
353.0,fulfilled,True,card,Maestro,Citizens First Banks,10,False,False,no,no,com,other,digits_and_letters
17.0,fulfilled,True,card,Diners Club / Carte Blanche,Solace Banks,34,True,False,no,no,com,hotmail,only_letters
24.0,fulfilled,False,card,VISA 16 digit,Grand Credit Corporation,34,False,True,no,no,com,other,only_letters
35.0,pending,False,card,Voyager,Her Majesty Trust,39,False,False,no,no,com,gmail,digits_and_letters
32.0,fulfilled,False,card,JCB 16 digit,Bulwark Trust Corp.,49,False,False,unknown,unknown,com,yahoo,only_letters
36.0,fulfilled,False,bitcoin,VISA 16 digit,Vertex Bancorp,29,False,True,no,no,com,hotmail,only_letters
41.0,fulfilled,True,apple pay,American Express,Bastion Banks,25,True,False,unknown,unknown,com,gmail,only_letters
19.0,failed,False,apple pay,Diners Club / Carte Blanche,Citizens First Banks,25,False,False,no,no,com,yahoo,only_letters
20.0,fulfilled,False,card,JCB 16 digit,Bulwark Trust Corp.,14,True,False,no,no,com,hotmail,digits_and_letters
37.0,fulfilled,False,card,VISA 16 digit,Fountain Financial Inc.,14,True,False,no,no,org,other,digits_and_letters
14.0,fulfilled,False,apple pay,VISA 16 digit,Solace Banks,14,True,False,no,no,com,hotmail,digits_and_letters
49.0,fulfilled,True,card,American Express,Solace Banks,14,True,False,no,no,com,other,digits_and_letters
43.0,fulfilled,False,card,JCB 16 digit,Grand Credit Corporation,14,False,True,no,no,weird,weird,digits_and_letters
31.0,fulfilled,False,card,Voyager,Citizens First Banks,32,True,False,no,no,net,other,only_letters
46.0,fulfilled,False,card,VISA 16 digit,Vertex Bancorp,32,False,True,no,no,biz,other,digits_and_letters
16.0,fulfilled,False,card,Diners Club / Carte Blanche,Vertex Bancorp,21,False,False,unknown,unknown,com,gmail,digits_and_letters
15.0,fulfilled,False,apple pay,VISA 13 digit,Fountain Financial Inc.,10,True,True,no,no,com,gmail,digits_and_letters
18.0,failed,False,card,JCB 16 digit,Citizens First Banks,10,True,False,unknown,unknown,com,gmail,digits_and_letters
16.0,fulfilled,True,card,JCB 15 digit,Grand Credit Corporation,10,False,False,no,no,com,other,digits_and_letters
39.0,pending,True,card,American Express,Rose Bancshares,11,True,False,unknown,unknown,com,other,only_letters
37.0,fulfilled,False,card,JCB 16 digit,Solace Banks,11,False,False,no,no,com,other,only_letters
12.0,failed,False,apple pay,VISA 16 digit,Vertex Bancorp,47,True,True,no,no,com,yahoo,digits_and_letters
48.0,failed,True,apple pay,VISA 16 digit,Bulwark Trust Corp.,47,False,True,no,no,com,other,digits_and_letters
41.0,fulfilled,False,card,Voyager,Her Majesty Trust,50,False,False,no,no,net,other,digits_and_letters
29.0,fulfilled,False,card,VISA 13 digit,Fountain Financial Inc.,39,False,True,no,no,com,other,only_letters
22.0,fulfilled,False,apple pay,VISA 13 digit,Vertex Bancorp,18,True,True,no,no,biz,other,only_letters
44.0,fulfilled,False,card,Discover,c,18,False,True,no,no,com,gmail,digits_and_letters
43.0,failed,False,bitcoin,VISA 13 digit, ,29,False,True,no,no,com,other,only_letters
41.0,fulfilled,False,card,Mastercard,Rose Bancshares,41,True,False,no,no,com,other,only_letters
16.0,fulfilled,False,card,JCB 15 digit,Bulwark Trust Corp.,41,False,,unknown,unknown,weird,weird,only_letters
37.0,failed,False,apple pay,Discover,Bulwark Trust Corp.,45,False,,unknown,unknown,weird,weird,only_letters
31.0,fulfilled,False,card,JCB 16 digit,Solace Banks,22,False,,unknown,unknown,weird,weird,only_letters
24.0,fulfilled,True,card,JCB 16 digit,Fountain Financial Inc.,29,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,False,card,JCB 15 digit,Vertex Bancorp,51,True,,unknown,unknown,weird,weird,only_letters
42.0,fulfilled,False,paypal,Maestro,Solace Banks,51,False,,unknown,unknown,weird,weird,only_letters
37.0,fulfilled,True,bitcoin,Discover,Grand Credit Corporation,36,False,,unknown,unknown,weird,weird,only_letters
30.0,fulfilled,False,card,Voyager,Her Majesty Trust,60,False,,unknown,unknown,weird,weird,only_letters
12.0,fulfilled,False,card,Mastercard,Bulwark Trust Corp.,52,False,,unknown,unknown,weird,weird,only_letters
16.0,fulfilled,True,card,Diners Club / Carte Blanche,Vertex Bancorp,68,False,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,False,paypal,VISA 16 digit,Grand Credit Corporation,51,False,,unknown,unknown,weird,weird,only_letters
23.0,fulfilled,False,card,Voyager,Grand Credit Corporation,31,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,False,card,Maestro,Rose Bancshares,36,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,False,card,JCB 15 digit,Rose Bancshares,42,False,,unknown,unknown,weird,weird,only_letters
43.0,fulfilled,False,bitcoin,Maestro,Bastion Banks,35,True,,unknown,unknown,weird,weird,only_letters
15.0,failed,False,card,VISA 13 digit,Bastion Banks,35,False,,unknown,unknown,weird,weird,only_letters
48.0,fulfilled,False,card,JCB 16 digit,Bastion Banks,17,True,,unknown,unknown,weird,weird,only_letters
45.0,fulfilled,False,card,JCB 16 digit,Her Majesty Trust,17,True,,unknown,unknown,weird,weird,only_letters
13.0,fulfilled,False,card,JCB 16 digit,Fountain Financial Inc.,17,True,,unknown,unknown,weird,weird,only_letters
14.0,fulfilled,False,card,Voyager,Her Majesty Trust,17,False,,unknown,unknown,weird,weird,only_letters
49.0,pending,True,card,VISA 16 digit,Her Majesty Trust,33,False,,unknown,unknown,weird,weird,only_letters
25.0,fulfilled,True,apple pay,Voyager,Bastion Banks,353,True,,unknown,unknown,weird,weird,only_letters
41.0,fulfilled,False,bitcoin,Mastercard,Vertex Bancorp,17,False,,unknown,unknown,weird,weird,only_letters
25.0,fulfilled,False,apple pay,Voyager,Fountain Financial Inc.,24,True,,unknown,unknown,weird,weird,only_letters
45.0,failed,False,card,JCB 16 digit,Her Majesty Trust,24,False,,unknown,unknown,weird,weird,only_letters
15.0,fulfilled,False,apple pay,Diners Club / Carte Blanche,Bastion Banks,35,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,False,card,VISA 16 digit,Her Majesty Trust,32,False,,unknown,unknown,weird,weird,only_letters
22.0,fulfilled,False,card,VISA 16 digit,Vertex Bancorp,36,True,,unknown,unknown,weird,weird,only_letters
21.0,fulfilled,True,paypal,JCB 16 digit,Bastion Banks,36,True,,unknown,unknown,weird,weird,only_letters
35.0,fulfilled,False,paypal,Maestro,n,36,True,,unknown,unknown,weird,weird,only_letters
20.0,fulfilled,False,card,Voyager,r,41,False,,unknown,unknown,weird,weird,only_letters
41.0,fulfilled,False,bitcoin,Mastercard,e,19,True,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,False,card,JCB 16 digit,Citizens First Banks,19,False,,unknown,unknown,weird,weird,only_letters
32.0,fulfilled,False,card,Discover,His Majesty Bank Corp.,20,False,,unknown,unknown,weird,weird,only_letters
13.0,fulfilled,False,apple pay,Voyager,Her Majesty Trust,37,True,,unknown,unknown,weird,weird,only_letters
10.0,fulfilled,False,card,JCB 15 digit,His Majesty Bank Corp.,37,True,,unknown,unknown,weird,weird,only_letters
18.0,fulfilled,False,bitcoin,JCB 16 digit,Fountain Financial Inc.,37,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,14,False,,unknown,unknown,weird,weird,only_letters
72.0,fulfilled,False,card,Diners Club / Carte Blanche,e,49,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,False,card,Voyager,Bulwark Trust Corp.,43,False,,unknown,unknown,weird,weird,only_letters
42.0,failed,True,paypal,Mastercard,B,31,False,,unknown,unknown,weird,weird,only_letters
56.0,fulfilled,False,apple pay,American Express,Rose Bancshares,46,False,,unknown,unknown,weird,weird,only_letters
30.0,pending,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,16,False,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,15,False,,unknown,unknown,weird,weird,only_letters
34.0,fulfilled,True,card,VISA 16 digit,Fountain Financial Inc.,18,False,,unknown,unknown,weird,weird,only_letters
47.0,fulfilled,False,paypal,Discover,Her Majesty Trust,16,False,,unknown,unknown,weird,weird,only_letters
31.0,fulfilled,True,card,JCB 15 digit,Citizens First Banks,39,False,,unknown,unknown,weird,weird,only_letters
28.0,fulfilled,False,card,JCB 16 digit,Bastion Banks,37,False,,unknown,unknown,weird,weird,only_letters
11.0,fulfilled,True,card,Voyager,His Majesty Bank Corp.,12,False,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,False,card,American Express,Bulwark Trust Corp.,48,True,,unknown,unknown,weird,weird,only_letters
19.0,fulfilled,True,card,VISA 13 digit,Rose Bancshares,48,False,,unknown,unknown,weird,weird,only_letters
17.0,fulfilled,False,card,JCB 16 digit,Fountain Financial Inc.,41,False,,unknown,unknown,weird,weird,only_letters
27.0,fulfilled,False,bitcoin,JCB 15 digit,B,29,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,False,card,VISA 16 digit,c,22,False,,unknown,unknown,weird,weird,only_letters
46.0,pending,False,card,VISA 16 digit,Bulwark Trust Corp.,44,False,,unknown,unknown,weird,weird,only_letters
59.0,fulfilled,False,card,JCB 16 digit,Grand Credit Corporation,43,True,,unknown,unknown,weird,weird,only_letters
71.0,fulfilled,False,card,Voyager,Grand Credit Corporation,43,True,,unknown,unknown,weird,weird,only_letters
75.0,fulfilled,False,card,VISA 13 digit,Citizens First Banks,41,False,,unknown,unknown,weird,weird,only_letters
56.0,fulfilled,False,card,Mastercard,Grand Credit Corporation,16,True,,unknown,unknown,weird,weird,only_letters
48.0,pending,False,card,VISA 13 digit,Her Majesty Trust,16,True,,unknown,unknown,weird,weird,only_letters
55.0,fulfilled,False,card,JCB 16 digit,Rose Bancshares,16,False,,unknown,unknown,weird,weird,only_letters
67.0,pending,False,paypal,Voyager,Grand Credit Corporation,37,False,,unknown,unknown,weird,weird,only_letters
40.0,failed,False,card,JCB 15 digit,Fountain Financial Inc.,31,True,,unknown,unknown,weird,weird,only_letters
70.0,fulfilled,False,apple pay,JCB 16 digit,Fountain Financial Inc.,31,False,,unknown,unknown,weird,weird,only_letters
52.0,fulfilled,False,card,VISA 13 digit,His Majesty Bank Corp.,24,True,,unknown,unknown,weird,weird,only_letters
73.0,fulfilled,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,24,False,,unknown,unknown,weird,weird,only_letters
43.0,failed,False,paypal,JCB 16 digit,Vertex Bancorp,11,True,,unknown,unknown,weird,weird,only_letters
45.0,fulfilled,False,apple pay,Voyager,Vertex Bancorp,11,False,,unknown,unknown,weird,weird,only_letters
15.0,failed,False,card,Discover,Grand Credit Corporation,42,False,,unknown,unknown,weird,weird,only_letters
16.0,fulfilled,False,card,Maestro,His Majesty Bank Corp.,37,False,,unknown,unknown,weird,weird,only_letters
39.0,fulfilled,False,paypal,Maestro,Fountain Financial Inc.,30,True,,unknown,unknown,weird,weird,only_letters
40.0,fulfilled,False,bitcoin,American Express,c,30,False,,unknown,unknown,weird,weird,only_letters
33.0,failed,False,card,JCB 16 digit,r,12,False,,unknown,unknown,weird,weird,only_letters
50.0,fulfilled,False,card,VISA 16 digit,n,16,True,,unknown,unknown,weird,weird,only_letters
36.0,fulfilled,False,card,VISA 16 digit,Grand Credit Corporation,14,False,,unknown,unknown,weird,weird,only_letters
35.0,failed,False,card,JCB 16 digit,Grand Credit Corporation,23,False,,unknown,unknown,weird,weird,only_letters
46.0,fulfilled,False,card,VISA 16 digit,Solace Banks,50,False,,unknown,unknown,weird,weird,only_letters
49.0,fulfilled,False,card,Diners Club / Carte Blanche,Fountain Financial Inc.,34,False,,unknown,unknown,weird,weird,only_letters
16.0,fulfilled,False,card,JCB 15 digit,His Majesty Bank Corp.,43,True,,unknown,unknown,weird,weird,only_letters
36.0,fulfilled,True,bitcoin,VISA 16 digit,Fountain Financial Inc.,43,False,,unknown,unknown,weird,weird,only_letters
15.0,fulfilled,False,card,VISA 16 digit,His Majesty Bank Corp.,15,False,,unknown,unknown,weird,weird,only_letters
43.0,fulfilled,False,card,Voyager,Solace Banks,48,True,,unknown,unknown,weird,weird,only_letters
36.0,fulfilled,False,card,JCB 16 digit,Rose Bancshares,48,False,,unknown,unknown,weird,weird,only_letters
